Nom de la commune;Code département;Nom de la région;Nom de la commune
Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;41365
Laon;02;Hauts-de-France;25193
Saint-Quentin;02;Hauts-de-France;54443
Soissons;02;Hauts-de-France;28466
Montluçon;03;Auvergne-Rhône-Alpes;36147
Gap;05;Provence-Alpes-Côte d'Azur;40805
Antibes;06;Provence-Alpes-Côte d'Azur;73798
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;49902
Cannes;06;Provence-Alpes-Côte d'Azur;74152
Le Cannet;06;Provence-Alpes-Côte d'Azur;41612
Grasse;06;Provence-Alpes-Côte d'Azur;50677
Menton;06;Provence-Alpes-Côte d'Azur;28486
Nice;06;Provence-Alpes-Côte d'Azur;342637
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28645
Vallauris;06;Provence-Alpes-Côte d'Azur;26618
Charleville-Mézières;08;Grand Est;46682
Troyes;10;Grand Est;60640
Carcassonne;11;Occitanie;45895
Narbonne;11;Occitanie;53594
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;143006
Arles;13;Provence-Alpes-Côte d'Azur;52857
Aubagne;13;Provence-Alpes-Côte d'Azur;45290
La Ciotat;13;Provence-Alpes-Côte d'Azur;35366
Istres;13;Provence-Alpes-Côte d'Azur;42925
Marignane;13;Provence-Alpes-Côte d'Azur;33658
Marseille;13;Provence-Alpes-Côte d'Azur;862211
Martigues;13;Provence-Alpes-Côte d'Azur;48783
Miramas;13;Provence-Alpes-Côte d'Azur;25756
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;45574
Vitrolles;13;Provence-Alpes-Côte d'Azur;33880
Caen;14;Normandie;105403
Aurillac;15;Auvergne-Rhône-Alpes;25954
Angoulême;16;Nouvelle-Aquitaine;41935
La Rochelle;17;Nouvelle-Aquitaine;75736
Saintes;17;Nouvelle-Aquitaine;25355
Bourges;18;Centre-Val de Loire;65555
Vierzon;18;Centre-Val de Loire;26365
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;47004
Ajaccio;2A;Corse;69075
Bastia;2B;Corse;44829
Dijon;21;Bourgogne-Franche-Comté;155090
Saint-Brieuc;22;Bretagne;44999
Bergerac;24;Nouvelle-Aquitaine;27269
Périgueux;24;Nouvelle-Aquitaine;29912
Besançon;25;Bourgogne-Franche-Comté;116466
Montbéliard;25;Bourgogne-Franche-Comté;25304
Montélimar;26;Auvergne-Rhône-Alpes;38692
Romans-sur-Isère;26;Auvergne-Rhône-Alpes;33310
Valence;26;Auvergne-Rhône-Alpes;62477
Évreux;27;Normandie;48899
Chartres;28;Centre-Val de Loire;38752
Dreux;28;Centre-Val de Loire;30977
Brest;29;Bretagne;139342
Quimper;29;Bretagne;63405
Alès;30;Occitanie;39970
Nîmes;30;Occitanie;151001
Colomiers;31;Occitanie;38716
Muret;31;Occitanie;25207
Toulouse;31;Occitanie;475438
Tournefeuille;31;Occitanie;26436
Bègles;33;Nouvelle-Aquitaine;27713
Bordeaux;33;Nouvelle-Aquitaine;252040
